,sepal_length,sepal_width,petal_length,petal_width,class
44,3.0,9.0,2.0,2.0,Iris-setosa
45,2.0,6.0,1.0,2.0,Iris-setosa
46,3.0,9.0,2.0,1.0,Iris-setosa
47,2.0,7.0,1.0,1.0,Iris-setosa
48,4.0,9.0,2.0,1.0,Iris-setosa
49,3.0,7.0,1.0,1.0,Iris-setosa
50,10.0,7.0,8.0,7.0,Iris-versicolor
51,8.0,7.0,8.0,8.0,Iris-versicolor
52,9.0,6.0,8.0,8.0,Iris-versicolor
53,5.0,2.0,7.0,7.0,Iris-versicolor
54,8.0,4.0,8.0,8.0,Iris-versicolor
55,5.0,4.0,8.0,7.0,Iris-versicolor
56,7.0,7.0,8.0,8.0,Iris-versicolor
57,3.0,3.0,5.0,5.0,Iris-versicolor
58,8.0,5.0,8.0,7.0,Iris-versicolor
59,4.0,4.0,6.0,7.0,Iris-versicolor
60,3.0,1.0,6.0,5.0,Iris-versicolor
61,6.0,6.0,7.0,8.0,Iris-versicolor
62,6.0,2.0,7.0,5.0,Iris-versicolor
63,7.0,5.0,8.0,7.0,Iris-versicolor
64,5.0,5.0,6.0,7.0,Iris-versicolor
65,9.0,6.0,7.0,7.0,Iris-versicolor
66,5.0,6.0,8.0,8.0,Iris-versicolor
67,6.0,4.0,7.0,5.0,Iris-versicolor
68,7.0,2.0,8.0,8.0,Iris-versicolor
69,5.0,3.0,6.0,6.0,Iris-versicolor
70,6.0,7.0,8.0,9.0,Iris-versicolor
71,7.0,4.0,7.0,7.0,Iris-versicolor
72,7.0,3.0,8.0,8.0,Iris-versicolor
73,7.0,4.0,8.0,6.0,Iris-versicolor
74,8.0,5.0,7.0,7.0,Iris-versicolor
75,8.0,6.0,7.0,7.0,Iris-versicolor
76,9.0,4.0,8.0,7.0,Iris-versicolor
77,9.0,6.0,9.0,9.0,Iris-versicolor
78,6.0,5.0,8.0,8.0,Iris-versicolor
79,5.0,4.0,6.0,5.0,Iris-versicolor
80,5.0,3.0,6.0,6.0,Iris-versicolor
81,5.0,3.0,6.0,5.0,Iris-versicolor
82,6.0,4.0,6.0,6.0,Iris-versicolor
83,6.0,4.0,9.0,8.0,Iris-versicolor
84,4.0,6.0,8.0,8.0,Iris-versicolor
85,6.0,7.0,8.0,8.0,Iris-versicolor
86,9.0,6.0,8.0,8.0,Iris-versicolor
87,7.0,2.0,7.0,7.0,Iris-versicolor
88,5.0,6.0,7.0,7.0,Iris-versicolor
89,5.0,3.0,7.0,7.0,Iris-versicolor
90,5.0,4.0,7.0,6.0,Iris-versicolor
91,7.0,6.0,8.0,7.0,Iris-versicolor
92,6.0,4.0,7.0,6.0,Iris-versicolor
93,3.0,2.0,5.0,5.0,Iris-versicolor
94,5.0,4.0,7.0,7.0,Iris-versicolor
95,5.0,6.0,7.0,6.0,Iris-versicolor
96,5.0,5.0,7.0,7.0,Iris-versicolor
97,7.0,5.0,7.0,7.0,Iris-versicolor
98,3.0,3.0,5.0,6.0,Iris-versicolor
99,5.0,4.0,7.0,7.0,Iris-versicolor
100,7.0,7.0,11.0,12.0,Iris-virginica
101,6.0,4.0,9.0,10.0,Iris-virginica
102,10.0,6.0,10.0,11.0,Iris-virginica
103,7.0,5.0,10.0,9.0,Iris-virginica
104,8.0,6.0,10.0,11.0,Iris-virginica
105,11.0,6.0,12.0,11.0,Iris-virginica
106,3.0,3.0,8.0,9.0,Iris-virginica
107,10.0,5.0,11.0,9.0,Iris-virginica
108,9.0,3.0,10.0,9.0,Iris-virginica
109,10.0,8.0,11.0,12.0,Iris-virginica
110,8.0,7.0,9.0,10.0,Iris-virginica
111,8.0,4.0,9.0,10.0,Iris-virginica
112,9.0,6.0,10.0,11.0,Iris-virginica
113,5.0,3.0,9.0,10.0,Iris-virginica
114,6.0,4.0,9.0,12.0,Iris-virginica
115,8.0,7.0,9.0,12.0,Iris-virginica
116,8.0,6.0,10.0,9.0,Iris-virginica
117,12.0,9.0,12.0,11.0,Iris-virginica
118,12.0,4.0,12.0,12.0,Iris-virginica
119,6.0,2.0,9.0,8.0,Iris-virginica
120,9.0,7.0,10.0,12.0,Iris-virginica
121,5.0,4.0,8.0,10.0,Iris-virginica
122,12.0,4.0,12.0,10.0,Iris-virginica
123,7.0,4.0,8.0,9.0,Iris-virginica
124,9.0,7.0,10.0,11.0,Iris-virginica
125,10.0,7.0,11.0,9.0,Iris-virginica
126,7.0,4.0,8.0,9.0,Iris-virginica
127,7.0,6.0,8.0,9.0,Iris-virginica
128,8.0,4.0,10.0,11.0,Iris-virginica
129,10.0,6.0,10.0,8.0,Iris-virginica
130,11.0,4.0,11.0,10.0,Iris-virginica
131,12.0,9.0,11.0,10.0,Iris-virginica
132,8.0,4.0,10.0,11.0,Iris-virginica
133,7.0,4.0,9.0,8.0,Iris-virginica
134,7.0,4.0,10.0,7.0,Iris-virginica
135,12.0,6.0,11.0,12.0,Iris-virginica
136,7.0,7.0,10.0,12.0,Iris-virginica
137,8.0,6.0,10.0,9.0,Iris-virginica
138,6.0,6.0,8.0,9.0,Iris-virginica
139,9.0,6.0,9.0,11.0,Iris-virginica
140,9.0,6.0,10.0,12.0,Iris-virginica
141,9.0,6.0,9.0,12.0,Iris-virginica
142,6.0,4.0,9.0,10.0,Iris-virginica
143,9.0,7.0,10.0,12.0,Iris-virginica
144,9.0,7.0,10.0,12.0,Iris-virginica
145,9.0,6.0,9.0,12.0,Iris-virginica
146,7.0,3.0,9.0,10.0,Iris-virginica
147,8.0,6.0,9.0,10.0,Iris-virginica
148,7.0,7.0,9.0,12.0,Iris-virginica
149,6.0,6.0,9.0,9.0,Iris-virginica
