RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,class
19,15,21,9,8,1,16,1,1,2
20,4,1,16,14,5,24,1,22,2
29,1,1,19,1,3,24,32,18,2
32,8,1,8,3,1,32,1,16,2
16,18,1,8,17,1,19,1,6,2
10,15,1,3,27,1,17,1,1,2
22,3,1,5,20,1,28,1,1,2
23,2,1,5,19,1,29,1,1,2
24,10,1,4,13,1,27,1,1,2
11,14,28,10,16,3,9,1,9,2
11,12,29,9,16,4,9,1,1,2
11,13,28,11,15,3,9,1,1,2
11,13,28,12,15,3,9,1,7,2
9,15,27,16,13,4,8,1,1,2
8,13,26,13,16,4,8,1,19,2
8,14,26,12,16,4,8,1,1,2
11,13,27,11,15,3,9,1,1,2
8,11,26,14,19,4,8,1,14,2
9,13,26,12,18,3,8,1,1,2
9,14,25,15,16,4,8,1,1,2
15,12,27,9,17,3,10,1,1,2
11,11,27,13,16,3,10,1,8,2
8,11,26,10,17,3,10,1,1,2
14,15,17,12,13,3,14,1,11,2
14,14,15,14,14,3,13,3,11,2
13,16,10,14,12,3,16,1,12,2
15,15,8,11,14,2,17,1,1,2
22,15,1,11,9,1,24,1,7,2
10,13,29,9,16,3,9,1,1,2
10,15,29,13,12,3,9,1,10,2
10,13,28,10,17,3,8,1,1,2
10,12,28,11,15,3,9,1,18,2
10,11,28,8,19,3,9,1,8,2
9,11,26,13,19,4,8,1,1,2
8,10,26,13,21,4,8,1,1,2
8,11,26,14,20,4,8,1,1,2
9,13,26,14,16,4,8,1,1,2
11,12,26,8,18,3,9,1,11,2
8,11,26,12,19,4,9,1,16,2
9,11,25,15,17,4,9,1,1,2
8,11,23,10,19,3,11,1,16,2
11,11,27,10,16,4,10,1,22,2
10,15,27,9,17,1,10,1,1,3
7,13,26,11,17,3,9,1,1,3
8,13,26,11,17,3,9,1,7,3
8,7,26,11,18,3,10,1,1,3
8,12,25,15,16,4,9,1,11,3
15,18,28,6,10,1,13,1,1,3
10,15,27,4,19,1,11,1,1,3
7,13,25,10,17,4,9,1,1,3
9,11,26,11,17,4,10,1,1,3
8,12,25,10,19,3,10,1,1,3
8,13,25,10,17,3,10,1,1,3
15,16,27,3,12,1,13,1,1,3
10,14,25,13,13,3,10,1,1,3
10,14,24,14,13,3,11,1,6,3
11,13,24,13,14,3,11,1,1,3
12,15,26,5,17,1,11,2,16,3
16,17,27,7,9,2,12,1,24,3
6,16,20,32,1,9,2,23,1,5
12,10,14,16,17,4,14,1,1,5
15,4,14,13,18,3,18,1,1,5
15,2,13,13,21,3,19,1,1,5
12,10,1,14,23,2,19,1,1,5
8,11,1,16,24,5,15,1,1,5
13,13,1,15,19,3,18,1,1,5
18,14,1,13,14,2,21,1,1,5
3,12,1,28,4,32,5,1,1,5
3,11,1,28,6,32,5,1,1,5
14,13,1,12,14,2,22,1,1,5
14,11,12,19,14,4,13,3,32,5
15,11,3,13,21,1,18,1,18,5
12,16,18,13,15,1,13,1,1,6
12,15,18,9,17,1,13,1,1,6
11,18,16,14,15,1,12,1,1,6
11,17,16,14,17,1,12,1,1,6
3,18,13,13,28,1,7,1,1,6
11,21,6,15,16,1,14,1,1,6
12,17,1,18,17,1,17,1,1,6
12,19,1,3,21,1,18,1,1,6
1,32,1,1,32,1,4,1,1,6
1,15,23,16,18,10,1,13,1,7
11,18,24,20,9,8,2,17,1,7
17,14,24,10,15,4,11,1,1,7
16,20,16,18,3,4,13,1,1,7
18,25,14,11,4,2,10,18,1,7
7,16,13,15,19,1,10,8,1,7
7,20,1,21,20,1,10,7,6,7
8,17,1,25,21,1,11,5,6,7
9,20,1,18,19,1,10,17,6,7
8,19,1,17,20,1,10,16,5,7
7,17,1,24,21,1,11,7,4,7
7,16,1,23,20,1,12,9,1,7
9,20,1,21,20,1,11,7,1,7
6,18,1,24,19,1,11,7,1,7
7,21,1,23,19,1,11,6,1,7
6,22,1,20,22,1,9,7,1,7
8,6,1,9,31,14,11,1,1,7
6,20,1,22,23,1,9,6,1,7
8,20,1,17,19,1,9,18,1,7
8,21,1,20,20,1,10,7,1,7
9,21,1,16,19,1,10,16,1,7
8,21,1,16,19,1,10,15,1,7
11,18,1,16,18,8,4,30,1,7
8,18,1,25,18,1,12,6,1,7
8,17,1,26,17,1,12,11,1,7
9,21,1,17,19,1,9,17,1,7
14,18,1,18,21,1,9,17,1,7
8,18,1,17,22,1,10,16,1,7
9,17,1,18,21,1,10,17,1,7
