,Id,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,class
28,1,10.0,9.0,26.0,12.0,20.0,3.0,10.0,1.0,1.0,1
29,1,10.0,12.0,25.0,10.0,18.0,4.0,10.0,1.0,1.0,1
30,1,10.0,10.0,26.0,11.0,19.0,4.0,10.0,1.0,9.0,1
31,1,9.0,11.0,25.0,9.0,20.0,3.0,10.0,1.0,1.0,1
32,1,10.0,11.0,25.0,10.0,19.0,4.0,10.0,1.0,14.0,1
33,1,9.0,9.0,25.0,11.0,21.0,4.0,10.0,1.0,4.0,1
34,1,10.0,10.0,26.0,11.0,18.0,3.0,10.0,1.0,1.0,1
35,1,7.0,13.0,25.0,10.0,17.0,3.0,10.0,1.0,1.0,1
36,1,12.0,16.0,26.0,11.0,12.0,3.0,10.0,2.0,1.0,1
37,1,10.0,10.0,25.0,11.0,19.0,4.0,10.0,1.0,1.0,1
38,1,16.0,17.0,28.0,2.0,12.0,1.0,13.0,1.0,1.0,1
39,1,16.0,17.0,28.0,2.0,12.0,1.0,13.0,1.0,1.0,1
40,1,10.0,10.0,25.0,9.0,19.0,4.0,10.0,1.0,1.0,1
41,1,9.0,10.0,25.0,10.0,20.0,4.0,10.0,1.0,1.0,1
42,1,10.0,12.0,25.0,11.0,17.0,4.0,10.0,1.0,1.0,1
43,1,16.0,15.0,28.0,5.0,12.0,1.0,13.0,1.0,1.0,1
44,1,10.0,10.0,25.0,9.0,18.0,4.0,10.0,1.0,19.0,1
45,1,12.0,14.0,25.0,11.0,13.0,3.0,11.0,1.0,1.0,1
46,1,11.0,12.0,25.0,9.0,17.0,3.0,11.0,1.0,11.0,1
47,1,22.0,16.0,27.0,5.0,11.0,1.0,14.0,1.0,7.0,1
48,1,16.0,12.0,27.0,5.0,13.0,1.0,14.0,1.0,1.0,1
49,1,11.0,14.0,24.0,10.0,13.0,4.0,11.0,1.0,1.0,1
50,1,17.0,15.0,27.0,3.0,12.0,1.0,14.0,1.0,11.0,1
51,1,12.0,12.0,24.0,10.0,15.0,4.0,12.0,1.0,7.0,1
52,1,10.0,13.0,21.0,9.0,18.0,3.0,11.0,1.0,1.0,1
53,1,11.0,12.0,21.0,10.0,18.0,3.0,11.0,1.0,1.0,1
54,1,10.0,12.0,21.0,10.0,19.0,3.0,11.0,1.0,6.0,1
55,1,10.0,9.0,20.0,10.0,23.0,3.0,11.0,1.0,16.0,1
56,1,2.0,11.0,25.0,9.0,19.0,4.0,9.0,1.0,20.0,1
57,1,10.0,11.0,25.0,10.0,18.0,4.0,9.0,1.0,1.0,1
58,1,9.0,14.0,27.0,9.0,19.0,4.0,8.0,1.0,1.0,1
59,1,9.0,13.0,27.0,9.0,18.0,3.0,9.0,1.0,7.0,1
60,1,12.0,14.0,26.0,9.0,17.0,1.0,10.0,1.0,1.0,1
61,1,13.0,15.0,26.0,11.0,11.0,1.0,10.0,8.0,1.0,1
62,1,15.0,14.0,28.0,6.0,12.0,2.0,13.0,1.0,7.0,1
63,1,16.0,17.0,28.0,5.0,9.0,1.0,13.0,1.0,1.0,1
64,1,15.0,14.0,27.0,7.0,13.0,1.0,13.0,1.0,5.0,1
65,1,14.0,15.0,26.0,9.0,13.0,1.0,12.0,1.0,1.0,1
66,1,15.0,12.0,27.0,6.0,14.0,1.0,14.0,1.0,11.0,1
67,1,15.0,12.0,27.0,6.0,15.0,1.0,14.0,1.0,11.0,1
68,1,15.0,12.0,26.0,7.0,14.0,2.0,14.0,1.0,11.0,1
69,1,17.0,13.0,26.0,6.0,13.0,1.0,15.0,1.0,2.0,1
70,1,7.0,20.0,27.0,15.0,12.0,1.0,6.0,1.0,8.0,2
71,1,11.0,15.0,28.0,10.0,13.0,3.0,9.0,1.0,21.0,2
72,1,7.0,12.0,26.0,13.0,19.0,4.0,8.0,1.0,1.0,2
73,1,8.0,13.0,26.0,13.0,18.0,4.0,8.0,1.0,1.0,2
74,1,7.0,12.0,26.0,13.0,19.0,4.0,8.0,1.0,1.0,2
75,1,7.0,12.0,26.0,13.0,19.0,4.0,8.0,1.0,1.0,2
76,1,8.0,14.0,26.0,13.0,15.0,4.0,8.0,1.0,1.0,2
77,1,8.0,11.0,26.0,13.0,18.0,4.0,8.0,1.0,1.0,2
78,1,7.0,16.0,26.0,10.0,18.0,2.0,8.0,1.0,9.0,2
79,1,7.0,11.0,26.0,17.0,18.0,4.0,8.0,1.0,1.0,2
80,1,7.0,11.0,26.0,19.0,17.0,4.0,8.0,1.0,1.0,2
81,1,7.0,13.0,25.0,12.0,20.0,4.0,8.0,1.0,1.0,2
82,1,8.0,13.0,26.0,10.0,18.0,4.0,8.0,1.0,1.0,2
83,1,7.0,12.0,26.0,13.0,18.0,4.0,8.0,1.0,6.0,2
84,1,5.0,17.0,23.0,18.0,15.0,6.0,5.0,1.0,1.0,2
85,1,8.0,13.0,26.0,12.0,17.0,3.0,9.0,1.0,1.0,2
86,1,7.0,13.0,25.0,12.0,20.0,2.0,8.0,1.0,1.0,2
87,1,8.0,13.0,25.0,13.0,17.0,4.0,8.0,1.0,7.0,2
88,1,8.0,11.0,25.0,12.0,18.0,4.0,8.0,1.0,1.0,2
89,1,8.0,9.0,25.0,16.0,20.0,4.0,8.0,1.0,6.0,2
90,1,11.0,11.0,27.0,9.0,15.0,4.0,11.0,1.0,14.0,2
91,1,7.0,11.0,25.0,12.0,19.0,3.0,9.0,1.0,1.0,2
92,1,7.0,12.0,25.0,13.0,20.0,1.0,9.0,1.0,12.0,2
93,1,7.0,13.0,24.0,12.0,19.0,3.0,9.0,1.0,1.0,2
94,1,8.0,10.0,24.0,12.0,20.0,4.0,9.0,1.0,1.0,2
95,1,11.0,13.0,25.0,12.0,15.0,3.0,10.0,1.0,1.0,2
96,1,11.0,12.0,26.0,8.0,15.0,4.0,12.0,1.0,10.0,2
97,1,9.0,8.0,24.0,9.0,22.0,4.0,11.0,1.0,16.0,2
98,1,9.0,10.0,21.0,15.0,20.0,4.0,10.0,1.0,1.0,2
99,1,10.0,11.0,22.0,12.0,18.0,4.0,10.0,2.0,1.0,2
100,1,8.0,10.0,21.0,12.0,20.0,3.0,10.0,2.0,14.0,2
101,1,9.0,8.0,20.0,14.0,18.0,4.0,12.0,1.0,1.0,2
102,1,10.0,10.0,20.0,6.0,23.0,2.0,12.0,1.0,13.0,2
103,1,23.0,15.0,23.0,4.0,5.0,1.0,19.0,1.0,1.0,2
104,1,19.0,15.0,21.0,9.0,8.0,1.0,16.0,1.0,1.0,2
105,1,20.0,4.0,1.0,16.0,14.0,5.0,24.0,1.0,22.0,2
106,1,29.0,1.0,1.0,19.0,1.0,3.0,24.0,32.0,18.0,2
107,1,32.0,8.0,1.0,8.0,3.0,1.0,32.0,1.0,16.0,2
108,1,16.0,18.0,1.0,8.0,17.0,1.0,19.0,1.0,6.0,2
109,1,10.0,15.0,1.0,3.0,27.0,1.0,17.0,1.0,1.0,2
110,1,22.0,3.0,1.0,5.0,20.0,1.0,28.0,1.0,1.0,2
111,1,23.0,2.0,1.0,5.0,19.0,1.0,29.0,1.0,1.0,2
112,1,24.0,10.0,1.0,4.0,13.0,1.0,27.0,1.0,1.0,2
113,1,11.0,14.0,28.0,10.0,16.0,3.0,9.0,1.0,9.0,2
114,1,11.0,12.0,29.0,9.0,16.0,4.0,9.0,1.0,1.0,2
115,1,11.0,13.0,28.0,11.0,15.0,3.0,9.0,1.0,1.0,2
116,1,11.0,13.0,28.0,12.0,15.0,3.0,9.0,1.0,7.0,2
117,1,9.0,15.0,27.0,16.0,13.0,4.0,8.0,1.0,1.0,2
118,1,8.0,13.0,26.0,13.0,16.0,4.0,8.0,1.0,19.0,2
119,1,8.0,14.0,26.0,12.0,16.0,4.0,8.0,1.0,1.0,2
120,1,11.0,13.0,27.0,11.0,15.0,3.0,9.0,1.0,1.0,2
121,1,8.0,11.0,26.0,14.0,19.0,4.0,8.0,1.0,14.0,2
122,1,9.0,13.0,26.0,12.0,18.0,3.0,8.0,1.0,1.0,2
123,1,9.0,14.0,25.0,15.0,16.0,4.0,8.0,1.0,1.0,2
124,1,15.0,12.0,27.0,9.0,17.0,3.0,10.0,1.0,1.0,2
125,1,11.0,11.0,27.0,13.0,16.0,3.0,10.0,1.0,8.0,2
126,1,8.0,11.0,26.0,10.0,17.0,3.0,10.0,1.0,1.0,2
127,1,14.0,15.0,17.0,12.0,13.0,3.0,14.0,1.0,11.0,2
128,1,14.0,14.0,15.0,14.0,14.0,3.0,13.0,3.0,11.0,2
129,1,13.0,16.0,10.0,14.0,12.0,3.0,16.0,1.0,12.0,2
130,1,15.0,15.0,8.0,11.0,14.0,2.0,17.0,1.0,1.0,2
131,1,22.0,15.0,1.0,11.0,9.0,1.0,24.0,1.0,7.0,2
132,1,10.0,13.0,29.0,9.0,16.0,3.0,9.0,1.0,1.0,2
133,1,10.0,15.0,29.0,13.0,12.0,3.0,9.0,1.0,10.0,2
134,1,10.0,13.0,28.0,10.0,17.0,3.0,8.0,1.0,1.0,2
135,1,10.0,12.0,28.0,11.0,15.0,3.0,9.0,1.0,18.0,2
136,1,10.0,11.0,28.0,8.0,19.0,3.0,9.0,1.0,8.0,2
137,1,9.0,11.0,26.0,13.0,19.0,4.0,8.0,1.0,1.0,2
138,1,8.0,10.0,26.0,13.0,21.0,4.0,8.0,1.0,1.0,2
139,1,8.0,11.0,26.0,14.0,20.0,4.0,8.0,1.0,1.0,2
140,1,9.0,13.0,26.0,14.0,16.0,4.0,8.0,1.0,1.0,2
141,1,11.0,12.0,26.0,8.0,18.0,3.0,9.0,1.0,11.0,2
142,1,8.0,11.0,26.0,12.0,19.0,4.0,9.0,1.0,16.0,2
143,1,9.0,11.0,25.0,15.0,17.0,4.0,9.0,1.0,1.0,2
144,1,8.0,11.0,23.0,10.0,19.0,3.0,11.0,1.0,16.0,2
145,1,11.0,11.0,27.0,10.0,16.0,4.0,10.0,1.0,22.0,2
146,1,10.0,15.0,27.0,9.0,17.0,1.0,10.0,1.0,1.0,3
147,1,7.0,13.0,26.0,11.0,17.0,3.0,9.0,1.0,1.0,3
148,1,8.0,13.0,26.0,11.0,17.0,3.0,9.0,1.0,7.0,3
149,1,8.0,7.0,26.0,11.0,18.0,3.0,10.0,1.0,1.0,3
150,1,8.0,12.0,25.0,15.0,16.0,4.0,9.0,1.0,11.0,3
151,1,15.0,18.0,28.0,6.0,10.0,1.0,13.0,1.0,1.0,3
152,1,10.0,15.0,27.0,4.0,19.0,1.0,11.0,1.0,1.0,3
153,1,7.0,13.0,25.0,10.0,17.0,4.0,9.0,1.0,1.0,3
154,1,9.0,11.0,26.0,11.0,17.0,4.0,10.0,1.0,1.0,3
155,1,8.0,12.0,25.0,10.0,19.0,3.0,10.0,1.0,1.0,3
156,1,8.0,13.0,25.0,10.0,17.0,3.0,10.0,1.0,1.0,3
157,1,15.0,16.0,27.0,3.0,12.0,1.0,13.0,1.0,1.0,3
158,1,10.0,14.0,25.0,13.0,13.0,3.0,10.0,1.0,1.0,3
159,1,10.0,14.0,24.0,14.0,13.0,3.0,11.0,1.0,6.0,3
160,1,11.0,13.0,24.0,13.0,14.0,3.0,11.0,1.0,1.0,3
161,1,12.0,15.0,26.0,5.0,17.0,1.0,11.0,2.0,16.0,3
162,1,16.0,17.0,27.0,7.0,9.0,2.0,12.0,1.0,24.0,3
163,1,6.0,16.0,20.0,32.0,1.0,9.0,2.0,23.0,1.0,5
164,1,12.0,10.0,14.0,16.0,17.0,4.0,14.0,1.0,1.0,5
165,1,15.0,4.0,14.0,13.0,18.0,3.0,18.0,1.0,1.0,5
166,1,15.0,2.0,13.0,13.0,21.0,3.0,19.0,1.0,1.0,5
167,1,12.0,10.0,1.0,14.0,23.0,2.0,19.0,1.0,1.0,5
168,1,8.0,11.0,1.0,16.0,24.0,5.0,15.0,1.0,1.0,5
169,1,13.0,13.0,1.0,15.0,19.0,3.0,18.0,1.0,1.0,5
170,1,18.0,14.0,1.0,13.0,14.0,2.0,21.0,1.0,1.0,5
171,1,3.0,12.0,1.0,28.0,4.0,32.0,5.0,1.0,1.0,5
172,1,3.0,11.0,1.0,28.0,6.0,32.0,5.0,1.0,1.0,5
173,1,14.0,13.0,1.0,12.0,14.0,2.0,22.0,1.0,1.0,5
174,1,14.0,11.0,12.0,19.0,14.0,4.0,13.0,3.0,32.0,5
175,1,15.0,11.0,3.0,13.0,21.0,1.0,18.0,1.0,18.0,5
176,1,12.0,16.0,18.0,13.0,15.0,1.0,13.0,1.0,1.0,6
177,1,12.0,15.0,18.0,9.0,17.0,1.0,13.0,1.0,1.0,6
178,1,11.0,18.0,16.0,14.0,15.0,1.0,12.0,1.0,1.0,6
179,1,11.0,17.0,16.0,14.0,17.0,1.0,12.0,1.0,1.0,6
180,1,3.0,18.0,13.0,13.0,28.0,1.0,7.0,1.0,1.0,6
181,1,11.0,21.0,6.0,15.0,16.0,1.0,14.0,1.0,1.0,6
182,1,12.0,17.0,1.0,18.0,17.0,1.0,17.0,1.0,1.0,6
183,1,12.0,19.0,1.0,3.0,21.0,1.0,18.0,1.0,1.0,6
184,1,1.0,32.0,1.0,1.0,32.0,1.0,4.0,1.0,1.0,6
185,1,1.0,15.0,23.0,16.0,18.0,10.0,1.0,13.0,1.0,7
186,1,11.0,18.0,24.0,20.0,9.0,8.0,2.0,17.0,1.0,7
187,1,17.0,14.0,24.0,10.0,15.0,4.0,11.0,1.0,1.0,7
188,1,16.0,20.0,16.0,18.0,3.0,4.0,13.0,1.0,1.0,7
189,1,18.0,25.0,14.0,11.0,4.0,2.0,10.0,18.0,1.0,7
190,1,7.0,16.0,13.0,15.0,19.0,1.0,10.0,8.0,1.0,7
191,1,7.0,20.0,1.0,21.0,20.0,1.0,10.0,7.0,6.0,7
192,1,8.0,17.0,1.0,25.0,21.0,1.0,11.0,5.0,6.0,7
193,1,9.0,20.0,1.0,18.0,19.0,1.0,10.0,17.0,6.0,7
194,1,8.0,19.0,1.0,17.0,20.0,1.0,10.0,16.0,5.0,7
195,1,7.0,17.0,1.0,24.0,21.0,1.0,11.0,7.0,4.0,7
196,1,7.0,16.0,1.0,23.0,20.0,1.0,12.0,9.0,1.0,7
197,1,9.0,20.0,1.0,21.0,20.0,1.0,11.0,7.0,1.0,7
198,1,6.0,18.0,1.0,24.0,19.0,1.0,11.0,7.0,1.0,7
199,1,7.0,21.0,1.0,23.0,19.0,1.0,11.0,6.0,1.0,7
200,1,6.0,22.0,1.0,20.0,22.0,1.0,9.0,7.0,1.0,7
201,1,8.0,6.0,1.0,9.0,31.0,14.0,11.0,1.0,1.0,7
202,1,6.0,20.0,1.0,22.0,23.0,1.0,9.0,6.0,1.0,7
203,1,8.0,20.0,1.0,17.0,19.0,1.0,9.0,18.0,1.0,7
204,1,8.0,21.0,1.0,20.0,20.0,1.0,10.0,7.0,1.0,7
205,1,9.0,21.0,1.0,16.0,19.0,1.0,10.0,16.0,1.0,7
206,1,8.0,21.0,1.0,16.0,19.0,1.0,10.0,15.0,1.0,7
207,1,11.0,18.0,1.0,16.0,18.0,8.0,4.0,30.0,1.0,7
208,1,8.0,18.0,1.0,25.0,18.0,1.0,12.0,6.0,1.0,7
209,1,8.0,17.0,1.0,26.0,17.0,1.0,12.0,11.0,1.0,7
210,1,9.0,21.0,1.0,17.0,19.0,1.0,9.0,17.0,1.0,7
211,1,14.0,18.0,1.0,18.0,21.0,1.0,9.0,17.0,1.0,7
212,1,8.0,18.0,1.0,17.0,22.0,1.0,10.0,16.0,1.0,7
213,1,9.0,17.0,1.0,18.0,21.0,1.0,10.0,17.0,1.0,7
