,sepal_length,sepal_width,petal_length,petal_width,class
70,15.0,17.0,21.0,23.0,Iris-versicolor
71,17.0,11.0,17.0,17.0,Iris-versicolor
72,18.0,7.0,22.0,19.0,Iris-versicolor
73,17.0,11.0,21.0,15.0,Iris-versicolor
74,19.0,12.0,18.0,17.0,Iris-versicolor
75,21.0,14.0,19.0,18.0,Iris-versicolor
76,23.0,11.0,21.0,18.0,Iris-versicolor
77,22.0,14.0,22.0,22.0,Iris-versicolor
78,16.0,12.0,19.0,19.0,Iris-versicolor
79,13.0,9.0,14.0,13.0,Iris-versicolor
80,11.0,6.0,16.0,14.0,Iris-versicolor
81,11.0,6.0,15.0,13.0,Iris-versicolor
82,14.0,10.0,16.0,15.0,Iris-versicolor
83,16.0,10.0,23.0,21.0,Iris-versicolor
84,10.0,14.0,19.0,19.0,Iris-versicolor
85,16.0,19.0,19.0,21.0,Iris-versicolor
86,22.0,15.0,21.0,19.0,Iris-versicolor
87,18.0,5.0,19.0,17.0,Iris-versicolor
88,12.0,14.0,17.0,17.0,Iris-versicolor
89,11.0,7.0,17.0,17.0,Iris-versicolor
90,11.0,9.0,19.0,15.0,Iris-versicolor
91,17.0,14.0,20.0,18.0,Iris-versicolor
92,14.0,9.0,17.0,15.0,Iris-versicolor
93,7.0,5.0,13.0,13.0,Iris-versicolor
94,12.0,10.0,18.0,17.0,Iris-versicolor
95,13.0,14.0,18.0,15.0,Iris-versicolor
96,13.0,12.0,18.0,17.0,Iris-versicolor
97,17.0,12.0,18.0,17.0,Iris-versicolor
98,8.0,7.0,11.0,14.0,Iris-versicolor
99,13.0,11.0,17.0,17.0,Iris-versicolor
100,18.0,18.0,28.0,32.0,Iris-virginica
101,14.0,10.0,23.0,25.0,Iris-virginica
102,25.0,14.0,27.0,27.0,Iris-virginica
103,18.0,12.0,25.0,23.0,Iris-virginica
104,20.0,14.0,27.0,29.0,Iris-virginica
105,30.0,14.0,31.0,27.0,Iris-virginica
106,6.0,7.0,19.0,22.0,Iris-virginica
107,27.0,12.0,29.0,23.0,Iris-virginica
108,22.0,7.0,27.0,23.0,Iris-virginica
109,26.0,22.0,28.0,32.0,Iris-virginica
110,20.0,17.0,23.0,26.0,Iris-virginica
111,19.0,10.0,24.0,25.0,Iris-virginica
112,23.0,14.0,25.0,27.0,Iris-virginica
113,13.0,7.0,22.0,26.0,Iris-virginica
114,14.0,11.0,23.0,31.0,Iris-virginica
115,19.0,17.0,24.0,30.0,Iris-virginica
116,20.0,14.0,25.0,23.0,Iris-virginica
117,31.0,24.0,31.0,29.0,Iris-virginica
118,31.0,9.0,32.0,30.0,Iris-virginica
119,16.0,3.0,22.0,19.0,Iris-virginica
120,24.0,17.0,26.0,30.0,Iris-virginica
121,12.0,11.0,22.0,26.0,Iris-virginica
122,31.0,11.0,31.0,26.0,Iris-virginica
123,18.0,10.0,22.0,23.0,Iris-virginica
124,22.0,18.0,26.0,27.0,Iris-virginica
125,26.0,17.0,28.0,23.0,Iris-virginica
126,17.0,11.0,21.0,23.0,Iris-virginica
127,17.0,14.0,22.0,23.0,Iris-virginica
128,19.0,11.0,25.0,27.0,Iris-virginica
129,26.0,14.0,27.0,21.0,Iris-virginica
130,28.0,11.0,28.0,25.0,Iris-virginica
131,32.0,24.0,30.0,26.0,Iris-virginica
132,19.0,11.0,25.0,29.0,Iris-virginica
133,18.0,11.0,23.0,19.0,Iris-virginica
134,17.0,9.0,25.0,18.0,Iris-virginica
135,31.0,14.0,28.0,30.0,Iris-virginica
136,18.0,19.0,25.0,31.0,Iris-virginica
137,19.0,15.0,25.0,23.0,Iris-virginica
138,16.0,14.0,21.0,23.0,Iris-virginica
139,24.0,15.0,24.0,27.0,Iris-virginica
140,22.0,15.0,25.0,31.0,Iris-virginica
141,24.0,15.0,23.0,30.0,Iris-virginica
142,14.0,10.0,23.0,25.0,Iris-virginica
143,23.0,17.0,27.0,30.0,Iris-virginica
144,22.0,18.0,26.0,32.0,Iris-virginica
145,22.0,14.0,23.0,30.0,Iris-virginica
146,18.0,7.0,22.0,25.0,Iris-virginica
147,20.0,14.0,23.0,26.0,Iris-virginica
148,17.0,19.0,24.0,30.0,Iris-virginica
149,15.0,14.0,23.0,23.0,Iris-virginica
