,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,class
71,11.0,15.0,28.0,10.0,13.0,3.0,9.0,1.0,21.0,2
72,7.0,12.0,26.0,13.0,19.0,4.0,8.0,1.0,1.0,2
73,8.0,13.0,26.0,13.0,18.0,4.0,8.0,1.0,1.0,2
74,7.0,12.0,26.0,13.0,19.0,4.0,8.0,1.0,1.0,2
75,7.0,12.0,26.0,13.0,19.0,4.0,8.0,1.0,1.0,2
76,8.0,14.0,26.0,13.0,15.0,4.0,8.0,1.0,1.0,2
77,8.0,11.0,26.0,13.0,18.0,4.0,8.0,1.0,1.0,2
78,7.0,16.0,26.0,10.0,18.0,2.0,8.0,1.0,9.0,2
79,7.0,11.0,26.0,17.0,18.0,4.0,8.0,1.0,1.0,2
80,7.0,11.0,26.0,19.0,17.0,4.0,8.0,1.0,1.0,2
81,7.0,13.0,25.0,12.0,20.0,4.0,8.0,1.0,1.0,2
82,8.0,13.0,26.0,10.0,18.0,4.0,8.0,1.0,1.0,2
83,7.0,12.0,26.0,13.0,18.0,4.0,8.0,1.0,6.0,2
84,5.0,17.0,23.0,18.0,15.0,6.0,5.0,1.0,1.0,2
85,8.0,13.0,26.0,12.0,17.0,3.0,9.0,1.0,1.0,2
86,7.0,13.0,25.0,12.0,20.0,2.0,8.0,1.0,1.0,2
87,8.0,13.0,25.0,13.0,17.0,4.0,8.0,1.0,7.0,2
88,8.0,11.0,25.0,12.0,18.0,4.0,8.0,1.0,1.0,2
89,8.0,9.0,25.0,16.0,20.0,4.0,8.0,1.0,6.0,2
90,11.0,11.0,27.0,9.0,15.0,4.0,11.0,1.0,14.0,2
91,7.0,11.0,25.0,12.0,19.0,3.0,9.0,1.0,1.0,2
92,7.0,12.0,25.0,13.0,20.0,1.0,9.0,1.0,12.0,2
93,7.0,13.0,24.0,12.0,19.0,3.0,9.0,1.0,1.0,2
94,8.0,10.0,24.0,12.0,20.0,4.0,9.0,1.0,1.0,2
95,11.0,13.0,25.0,12.0,15.0,3.0,10.0,1.0,1.0,2
96,11.0,12.0,26.0,8.0,15.0,4.0,12.0,1.0,10.0,2
97,9.0,8.0,24.0,9.0,22.0,4.0,11.0,1.0,16.0,2
98,9.0,10.0,21.0,15.0,20.0,4.0,10.0,1.0,1.0,2
99,10.0,11.0,22.0,12.0,18.0,4.0,10.0,2.0,1.0,2
100,8.0,10.0,21.0,12.0,20.0,3.0,10.0,2.0,14.0,2
101,9.0,8.0,20.0,14.0,18.0,4.0,12.0,1.0,1.0,2
102,10.0,10.0,20.0,6.0,23.0,2.0,12.0,1.0,13.0,2
103,23.0,15.0,23.0,4.0,5.0,1.0,19.0,1.0,1.0,2
104,19.0,15.0,21.0,9.0,8.0,1.0,16.0,1.0,1.0,2
105,20.0,4.0,1.0,16.0,14.0,5.0,24.0,1.0,22.0,2
106,29.0,1.0,1.0,19.0,1.0,3.0,24.0,32.0,18.0,2
107,32.0,8.0,1.0,8.0,3.0,1.0,32.0,1.0,16.0,2
108,16.0,18.0,1.0,8.0,17.0,1.0,19.0,1.0,6.0,2
109,10.0,15.0,1.0,3.0,27.0,1.0,17.0,1.0,1.0,2
110,22.0,3.0,1.0,5.0,20.0,1.0,28.0,1.0,1.0,2
111,23.0,2.0,1.0,5.0,19.0,1.0,29.0,1.0,1.0,2
112,24.0,10.0,1.0,4.0,13.0,1.0,27.0,1.0,1.0,2
113,11.0,14.0,28.0,10.0,16.0,3.0,9.0,1.0,9.0,2
114,11.0,12.0,29.0,9.0,16.0,4.0,9.0,1.0,1.0,2
115,11.0,13.0,28.0,11.0,15.0,3.0,9.0,1.0,1.0,2
116,11.0,13.0,28.0,12.0,15.0,3.0,9.0,1.0,7.0,2
117,9.0,15.0,27.0,16.0,13.0,4.0,8.0,1.0,1.0,2
118,8.0,13.0,26.0,13.0,16.0,4.0,8.0,1.0,19.0,2
119,8.0,14.0,26.0,12.0,16.0,4.0,8.0,1.0,1.0,2
120,11.0,13.0,27.0,11.0,15.0,3.0,9.0,1.0,1.0,2
121,8.0,11.0,26.0,14.0,19.0,4.0,8.0,1.0,14.0,2
122,9.0,13.0,26.0,12.0,18.0,3.0,8.0,1.0,1.0,2
123,9.0,14.0,25.0,15.0,16.0,4.0,8.0,1.0,1.0,2
124,15.0,12.0,27.0,9.0,17.0,3.0,10.0,1.0,1.0,2
125,11.0,11.0,27.0,13.0,16.0,3.0,10.0,1.0,8.0,2
126,8.0,11.0,26.0,10.0,17.0,3.0,10.0,1.0,1.0,2
127,14.0,15.0,17.0,12.0,13.0,3.0,14.0,1.0,11.0,2
128,14.0,14.0,15.0,14.0,14.0,3.0,13.0,3.0,11.0,2
129,13.0,16.0,10.0,14.0,12.0,3.0,16.0,1.0,12.0,2
130,15.0,15.0,8.0,11.0,14.0,2.0,17.0,1.0,1.0,2
131,22.0,15.0,1.0,11.0,9.0,1.0,24.0,1.0,7.0,2
132,10.0,13.0,29.0,9.0,16.0,3.0,9.0,1.0,1.0,2
133,10.0,15.0,29.0,13.0,12.0,3.0,9.0,1.0,10.0,2
134,10.0,13.0,28.0,10.0,17.0,3.0,8.0,1.0,1.0,2
135,10.0,12.0,28.0,11.0,15.0,3.0,9.0,1.0,18.0,2
136,10.0,11.0,28.0,8.0,19.0,3.0,9.0,1.0,8.0,2
137,9.0,11.0,26.0,13.0,19.0,4.0,8.0,1.0,1.0,2
138,8.0,10.0,26.0,13.0,21.0,4.0,8.0,1.0,1.0,2
139,8.0,11.0,26.0,14.0,20.0,4.0,8.0,1.0,1.0,2
140,9.0,13.0,26.0,14.0,16.0,4.0,8.0,1.0,1.0,2
141,11.0,12.0,26.0,8.0,18.0,3.0,9.0,1.0,11.0,2
142,8.0,11.0,26.0,12.0,19.0,4.0,9.0,1.0,16.0,2
143,9.0,11.0,25.0,15.0,17.0,4.0,9.0,1.0,1.0,2
144,8.0,11.0,23.0,10.0,19.0,3.0,11.0,1.0,16.0,2
145,11.0,11.0,27.0,10.0,16.0,4.0,10.0,1.0,22.0,2
146,10.0,15.0,27.0,9.0,17.0,1.0,10.0,1.0,1.0,3
147,7.0,13.0,26.0,11.0,17.0,3.0,9.0,1.0,1.0,3
148,8.0,13.0,26.0,11.0,17.0,3.0,9.0,1.0,7.0,3
149,8.0,7.0,26.0,11.0,18.0,3.0,10.0,1.0,1.0,3
150,8.0,12.0,25.0,15.0,16.0,4.0,9.0,1.0,11.0,3
151,15.0,18.0,28.0,6.0,10.0,1.0,13.0,1.0,1.0,3
152,10.0,15.0,27.0,4.0,19.0,1.0,11.0,1.0,1.0,3
153,7.0,13.0,25.0,10.0,17.0,4.0,9.0,1.0,1.0,3
154,9.0,11.0,26.0,11.0,17.0,4.0,10.0,1.0,1.0,3
155,8.0,12.0,25.0,10.0,19.0,3.0,10.0,1.0,1.0,3
156,8.0,13.0,25.0,10.0,17.0,3.0,10.0,1.0,1.0,3
157,15.0,16.0,27.0,3.0,12.0,1.0,13.0,1.0,1.0,3
158,10.0,14.0,25.0,13.0,13.0,3.0,10.0,1.0,1.0,3
159,10.0,14.0,24.0,14.0,13.0,3.0,11.0,1.0,6.0,3
160,11.0,13.0,24.0,13.0,14.0,3.0,11.0,1.0,1.0,3
161,12.0,15.0,26.0,5.0,17.0,1.0,11.0,2.0,16.0,3
162,16.0,17.0,27.0,7.0,9.0,2.0,12.0,1.0,24.0,3
163,6.0,16.0,20.0,32.0,1.0,9.0,2.0,23.0,1.0,5
164,12.0,10.0,14.0,16.0,17.0,4.0,14.0,1.0,1.0,5
165,15.0,4.0,14.0,13.0,18.0,3.0,18.0,1.0,1.0,5
166,15.0,2.0,13.0,13.0,21.0,3.0,19.0,1.0,1.0,5
167,12.0,10.0,1.0,14.0,23.0,2.0,19.0,1.0,1.0,5
168,8.0,11.0,1.0,16.0,24.0,5.0,15.0,1.0,1.0,5
169,13.0,13.0,1.0,15.0,19.0,3.0,18.0,1.0,1.0,5
170,18.0,14.0,1.0,13.0,14.0,2.0,21.0,1.0,1.0,5
171,3.0,12.0,1.0,28.0,4.0,32.0,5.0,1.0,1.0,5
172,3.0,11.0,1.0,28.0,6.0,32.0,5.0,1.0,1.0,5
173,14.0,13.0,1.0,12.0,14.0,2.0,22.0,1.0,1.0,5
174,14.0,11.0,12.0,19.0,14.0,4.0,13.0,3.0,32.0,5
175,15.0,11.0,3.0,13.0,21.0,1.0,18.0,1.0,18.0,5
176,12.0,16.0,18.0,13.0,15.0,1.0,13.0,1.0,1.0,6
177,12.0,15.0,18.0,9.0,17.0,1.0,13.0,1.0,1.0,6
178,11.0,18.0,16.0,14.0,15.0,1.0,12.0,1.0,1.0,6
179,11.0,17.0,16.0,14.0,17.0,1.0,12.0,1.0,1.0,6
180,3.0,18.0,13.0,13.0,28.0,1.0,7.0,1.0,1.0,6
181,11.0,21.0,6.0,15.0,16.0,1.0,14.0,1.0,1.0,6
182,12.0,17.0,1.0,18.0,17.0,1.0,17.0,1.0,1.0,6
183,12.0,19.0,1.0,3.0,21.0,1.0,18.0,1.0,1.0,6
184,1.0,32.0,1.0,1.0,32.0,1.0,4.0,1.0,1.0,6
185,1.0,15.0,23.0,16.0,18.0,10.0,1.0,13.0,1.0,7
186,11.0,18.0,24.0,20.0,9.0,8.0,2.0,17.0,1.0,7
187,17.0,14.0,24.0,10.0,15.0,4.0,11.0,1.0,1.0,7
188,16.0,20.0,16.0,18.0,3.0,4.0,13.0,1.0,1.0,7
189,18.0,25.0,14.0,11.0,4.0,2.0,10.0,18.0,1.0,7
190,7.0,16.0,13.0,15.0,19.0,1.0,10.0,8.0,1.0,7
191,7.0,20.0,1.0,21.0,20.0,1.0,10.0,7.0,6.0,7
192,8.0,17.0,1.0,25.0,21.0,1.0,11.0,5.0,6.0,7
193,9.0,20.0,1.0,18.0,19.0,1.0,10.0,17.0,6.0,7
194,8.0,19.0,1.0,17.0,20.0,1.0,10.0,16.0,5.0,7
195,7.0,17.0,1.0,24.0,21.0,1.0,11.0,7.0,4.0,7
196,7.0,16.0,1.0,23.0,20.0,1.0,12.0,9.0,1.0,7
197,9.0,20.0,1.0,21.0,20.0,1.0,11.0,7.0,1.0,7
198,6.0,18.0,1.0,24.0,19.0,1.0,11.0,7.0,1.0,7
199,7.0,21.0,1.0,23.0,19.0,1.0,11.0,6.0,1.0,7
200,6.0,22.0,1.0,20.0,22.0,1.0,9.0,7.0,1.0,7
201,8.0,6.0,1.0,9.0,31.0,14.0,11.0,1.0,1.0,7
202,6.0,20.0,1.0,22.0,23.0,1.0,9.0,6.0,1.0,7
203,8.0,20.0,1.0,17.0,19.0,1.0,9.0,18.0,1.0,7
204,8.0,21.0,1.0,20.0,20.0,1.0,10.0,7.0,1.0,7
205,9.0,21.0,1.0,16.0,19.0,1.0,10.0,16.0,1.0,7
206,8.0,21.0,1.0,16.0,19.0,1.0,10.0,15.0,1.0,7
207,11.0,18.0,1.0,16.0,18.0,8.0,4.0,30.0,1.0,7
208,8.0,18.0,1.0,25.0,18.0,1.0,12.0,6.0,1.0,7
209,8.0,17.0,1.0,26.0,17.0,1.0,12.0,11.0,1.0,7
210,9.0,21.0,1.0,17.0,19.0,1.0,9.0,17.0,1.0,7
211,14.0,18.0,1.0,18.0,21.0,1.0,9.0,17.0,1.0,7
212,8.0,18.0,1.0,17.0,22.0,1.0,10.0,16.0,1.0,7
213,9.0,17.0,1.0,18.0,21.0,1.0,10.0,17.0,1.0,7
